name,category,latitude,longitude,status,roadAddress
모로미쿠시,기타,37.515437761891405,127.04111249173742,영업/정상,"서울특별시 강남구 선릉로127길 7 (논현동,지상1층)"
토프랜드,기타,37.52787076328644,127.0318884209931,영업/정상,"서울특별시 강남구 언주로173길 19 (신사동,지상1층)"
오월의 가로수,기타,37.52040479100007,127.02387428197254,영업/정상,"서울특별시 강남구 논현로153길 54, 지하1층 (신사동)"
막끌리네 선릉점,기타,37.50308212981942,127.05208706954211,영업/정상,"서울특별시 강남구 선릉로82길 25, 삼정빌딩 지상1층 (대치동)"
올라포케 삼성점,기타,37.50697913960668,127.06089475610497,영업/정상,"서울특별시 강남구 영동대로85길 34, 지상1층 102호 (대치동)"
수린,기타,37.52536281938355,127.03548773492678,영업/정상,"서울특별시 강남구 언주로164길 24, 3층 (신사동, 아크로스 빌딩)"
포텐,기타,37.512548142773426,127.05315978162129,영업/정상,"서울특별시 강남구 삼성로 573, 성원빌딩 지하1층 (삼성동)"
에쏘빈 (ESSO BEAN),기타,37.495194295080225,127.0317817722817,영업/정상,"서울특별시 강남구 역삼로5길 21, 지상1층 (역삼동)"
배꼽집,기타,37.512521154961824,127.05881929973503,영업/정상,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 P106호 (삼성동)"
와인앤다인,기타,37.52389374086157,127.05412389343165,영업/정상,"서울특별시 강남구 영동대로 737 (청담동,1층)"
팔공키친,기타,37.505945763356365,127.02587357404954,영업/정상,"서울특별시 강남구 강남대로114길 20, 지하1층 2호 (논현동)"
원자맘대로,기타,37.50297385927619,127.0562757091386,영업/정상,"서울특별시 강남구 역삼로77길 7, 1층 102호 (대치동, 리유센트빌)"
이가네 양꼬치,기타,37.485398648776815,127.03478108326874,영업/정상,"서울특별시 강남구 남부순환로351길 8, 지하1층 (도곡동)"
넙딱집,기타,37.494975045523205,127.03938390725948,영업/정상,"서울특별시 강남구 논현로 333, 지상1층 102호 (역삼동)"
김밥천국대치역점,기타,37.4938288264825,127.0629407625155,영업/정상,"서울특별시 강남구 삼성로 155 (대치동,지상1층123호)"
카페935(한티점),기타,37.498148687431986,127.0554163336869,영업/정상,"서울특별시 강남구 선릉로62길 37, 지상1층 (대치동)"
화돌농장 무안뻘낙지 삼성점,기타,37.51317761385538,127.06510123719885,영업/정상,"서울특별시 강남구 봉은사로112길 27, 지하1층 (삼성동)"
사와레,기타,37.51076059923866,127.05082218170823,영업/정상,"서울특별시 강남구 봉은사로68길 21, 2층 (삼성동)"
우슬 역삼,기타,37.49814989729155,127.03493053687897,영업/정상,"서울특별시 강남구 테헤란로20길 25, 3,4층 (역삼동)"
오사카카레콘유,기타,37.52068150615768,127.02261260019432,영업/정상,"서울특별시 강남구 강남대로160길 49, 1층 (신사동)"
자매수산,기타,37.50087168931326,127.02770346401162,영업/정상,"서울특별시 강남구 봉은사로18길 90, 지상2층 (역삼동)"
강민철 레스토랑,기타,37.52493821669953,127.04365737118887,영업/정상,"서울특별시 강남구 도산대로63길 18, 청담빌딩 지상5층 (청담동)"
단미그린비,기타,37.47928644122777,127.1026902469742,영업/정상,서울특별시 강남구 밤고개로14길 13-50 (자곡동)
이백서서갈비,기타,37.50539355783386,127.02560796940939,영업/정상,"서울특별시 강남구 강남대로112길 14, 지상2층 (논현동)"
트리니티,기타,37.523239085406445,127.03580231620144,영업/정상,"서울특별시 강남구 도산대로45길 14, 지하2층 (신사동)"
스피니치(SPINACH),기타,37.50500263414722,127.06337320572231,영업/정상,"서울특별시 강남구 역삼로 555, 지하1층 B101-1A호 (대치동, 대치동더블유타워)"
